miRNA	A10_SM385B	A11_SM385B	A12_SM385B	A13_SM385B	A14_SM385B	A1_SM385B	A2_SM385B	A3_SM385B	A4_SM385B	A5_SM385B	A6_SM385B	A7_SM385B	A8_SM385B	A9_SM385B	B10_SM385B	B11_SM385B	B12_SM385B	B13_SM385B	B1_SM385B	B2_SM385B	B3_SM385B	B4_SM385B	B5_SM385B	B6_SM385B	B7_SM385B	B8_SM385B	B9_SM385B	C1_SM385B	C2_SM385B	C3_SM385B	C4_SM385B	C5_SM385B	C6_SM385B
hsa-let-7a-2-3p	15	35	74	18	13	0	7	15	20	5	38	16	14	125	18	14	18	9	13	21	16	16	10	215	11	116	141	10	15	6	6	6	9
hsa-let-7a-3p	4292	4617	4339	2785	2242	1621	3618	1681	1360	804	4255	3029	1960	8139	2577	2349	3172	1135	2066	1390	1874	2582	2147	12310	2029	11671	11673	674	1747	1035	2008	727	946
hsa-let-7a-5p	606011	840378	555631	338492	276371	190226	374766	197568	202741	87807	464867	365406	264794	1138556	202003	195322	390734	111262	258822	596207	232646	319942	325534	1514939	206577	1028861	1145669	69839	162539	88371	206529	73773	112706
hsa-let-7b-3p	1648	1858	1334	538	575	110	1227	590	589	342	1048	973	1082	3176	550	607	615	335	695	1945	637	902	594	3486	775	4493	2681	120	78	163	280	58	198
hsa-let-7b-5p	133932	123131	96228	39203	46810	43749	57888	29738	42488	15648	82770	60831	36070	160879	24103	24347	38774	10432	29196	149234	43007	37936	46025	235032	23907	137794	184708	11679	16209	44491	25705	13717	20310
hsa-let-7c-3p	66	220	66	116	59	7	98	60	59	20	121	94	33	280	62	137	102	39	75	220	97	58	25	497	58	400	241	28	38	11	100	4	76
hsa-let-7c-5p	78218	112635	73523	39606	44751	19517	44080	26662	26202	11433	53104	43124	29338	157274	21880	20719	36712	11189	31035	91329	44395	34244	32609	172765	21655	110164	116085	11008	23062	12749	26295	8875	26919
hsa-let-7d-3p	2345	3222	2037	828	705	404	2145	795	1230	489	1499	1256	1370	3423	534	1018	2473	995	1998	7963	1303	1627	1028	5654	1232	6543	3397	353	205	174	438	84	520
hsa-let-7d-5p	40421	63767	41920	19594	15109	14550	33998	13026	9938	5464	29970	23925	18539	54532	11037	13130	27835	9597	21580	39668	14396	23303	19146	84774	13024	68272	50384	4257	15513	8865	15457	5065	9236
hsa-let-7e-3p	635	562	470	357	167	196	407	263	153	61	545	345	146	835	245	344	267	68	329	259	277	327	350	2574	214	1819	2247	110	66	32	256	73	158
hsa-let-7e-5p	29737	40934	36108	15912	12040	5107	18303	9691	12323	4903	19396	15495	14084	35420	7268	9880	18831	6062	15339	50252	13176	15923	11261	60202	11315	50210	33971	3777	8025	2814	8889	1954	6413
hsa-let-7f-1-3p	202	197	168	113	105	70	172	84	54	39	240	154	84	466	93	43	61	13	101	41	60	99	187	1052	66	297	643	32	77	29	59	14	59
hsa-let-7f-2-3p	389	376	324	194	116	179	337	118	69	23	434	214	60	336	189	79	153	63	129	42	142	166	105	887	100	808	1548	44	171	72	224	54	98
hsa-let-7f-5p	617168	827581	503217	354060	274329	236302	490589	216779	156462	81354	522329	370857	267309	1115850	233817	220519	450595	144689	251162	440688	207710	315806	353954	1582878	214515	1019913	1361272	79840	313156	82099	296289	114315	153048
hsa-let-7g-3p	241	109	158	85	60	164	169	37	96	27	261	86	63	421	86	28	32	0	69	18	73	64	52	375	42	372	911	29	24	8	43	17	52
hsa-let-7g-5p	690931	784442	508963	337558	214595	216473	544414	227792	172852	81914	503596	402266	294701	951882	247711	253463	494291	188101	282957	465688	193827	306790	330891	1543831	257835	1288702	1321259	79678	262263	104661	279821	103418	129841
hsa-let-7i-3p	245	105	118	78	57	178	202	87	174	69	289	161	74	724	142	25	68	5	94	43	328	89	80	564	66	705	1055	37	11	24	64	24	134
hsa-let-7i-5p	125500	117884	100572	43601	48492	104191	88857	47267	27870	15337	97169	66487	55217	259856	36980	33755	74153	26743	41286	78087	46204	41955	55438	241260	28594	168712	196268	17590	41480	43348	35071	23183	32968
